dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000305,0.060960,12.192000,0.000000
0.005000,0.000000,0.000000,0.000004,0.000914,0.121920,12.192000,0.000000
0.005000,0.000000,0.000000,0.000011,0.001829,0.182880,12.192000,0.000000
0.005000,0.000005,0.000000,0.000023,0.003048,0.243840,12.192000,0.000000
0.005000,0.000024,0.000000,0.000042,0.004572,0.304800,12.192000,0.000000
0.005000,0.000052,0.000000,0.000069,0.006401,0.365760,12.192000,0.000000
0.005000,0.000089,0.000000,0.000107,0.008534,0.426720,12.192000,0.000000
0.005000,0.000138,0.000000,0.000155,0.010973,0.487680,12.192000,0.000000
0.005000,0.000199,0.000000,0.000217,0.013716,0.548640,12.192000,0.000000
0.005000,0.000276,0.000000,0.000293,0.016764,0.609600,12.192000,0.000000
0.005000,0.000368,0.000000,0.000386,0.020117,0.670560,12.192000,0.000000
0.005000,0.000478,0.000000,0.000495,0.023774,0.731520,12.192000,0.000000
0.005000,0.000606,0.000000,0.000624,0.027737,0.792480,12.192000,0.000000
0.005000,0.000756,0.000000,0.000773,0.032004,0.853440,12.192000,0.000000
0.005000,0.000927,0.000000,0.000945,0.036576,0.914400,12.192000,0.000000
0.005000,0.001122,0.000000,0.001140,0.041453,0.975360,12.192000,0.000000
0.005000,0.001342,0.000000,0.001360,0.046634,1.036320,12.192000,0.000000
0.005000,0.001589,0.000000,0.001607,0.052121,1.097280,12.192000,0.000000
0.005000,0.001864,0.000000,0.001882,0.057912,1.158240,12.192000,0.000000
0.005000,0.002169,0.000000,0.002187,0.064008,1.219200,12.192000,0.000000
0.005000,0.002505,0.000000,0.002523,0.070409,1.280160,12.192000,0.000000
0.005000,0.002874,0.000000,0.002892,0.077114,1.341120,12.192000,0.000000
0.005000,0.003277,0.000000,0.003295,0.084125,1.402080,12.192000,0.000000
0.005000,0.003716,0.000000,0.003734,0.091440,1.463040,12.192000,0.000000
0.005000,0.004192,0.000000,0.004210,0.099060,1.524000,12.192000,0.000000
0.005000,0.004707,0.000000,0.004725,0.106985,1.584960,12.192000,0.000000
0.005000,0.005263,0.000000,0.005281,0.115214,1.645920,12.192000,0.000000
0.005000,0.005860,0.000000,0.005878,0.123749,1.706880,12.192000,0.000000
0.005000,0.006501,0.000000,0.006519,0.132588,1.767840,12.192000,0.000000
0.005000,0.007187,0.000000,0.007205,0.141732,1.828800,12.192000,0.000000
0.005000,0.007919,0.000000,0.007937,0.151181,1.889760,12.192000,0.000000
0.005000,0.008700,0.000000,0.008717,0.160934,1.950720,12.192000,0.000000
0.005000,0.009529,0.000000,0.009547,0.170993,2.011680,12.192000,0.000000
0.005000,0.010410,0.000000,0.010428,0.181356,2.072640,12.192000,0.000000
0.005000,0.011344,0.000000,0.011361,0.192024,2.133600,12.192000,0.000000
0.005000,0.012331,0.000000,0.012349,0.202997,2.194560,12.192000,0.000000
0.005000,0.013374,0.000000,0.013392,0.214274,2.255520,12.192000,0.000000
0.005000,0.014475,0.000000,0.014492,0.225857,2.316480,12.192000,0.000000
0.005000,0.015634,0.000000,0.015651,0.237744,2.377440,12.192000,0.000000
0.005000,0.016853,0.000000,0.016871,0.249936,2.438400,12.192000,0.000000
0.005000,0.018134,0.000000,0.018152,0.262433,2.499360,12.192000,0.000000
0.005000,0.019478,0.000000,0.019496,0.275234,2.560320,12.192000,0.000000
0.005000,0.020887,0.000000,0.020905,0.288341,2.621280,12.192000,0.000000
0.005000,0.022362,0.000000,0.022380,0.301752,2.682240,12.192000,0.000000
0.005000,0.023905,0.000000,0.023923,0.315468,2.743200,12.192000,0.000000
0.005000,0.025518,0.000000,0.025535,0.329489,2.804160,12.192000,0.000000
0.005000,0.027201,0.000000,0.027219,0.343814,2.865120,12.192000,0.000000
0.005000,0.028957,0.000000,0.028974,0.358445,2.926080,12.192000,0.000000
0.005000,0.030786,0.000000,0.030804,0.373380,2.987040,12.192000,0.000000
0.005000,0.032691,0.000000,0.032709,0.388620,3.048000,12.192000,0.000000
0.005000,0.034673,0.000000,0.034691,0.404165,3.108960,12.192000,0.000000
0.005000,0.036733,0.000000,0.036751,0.420014,3.169920,12.192000,0.000000
0.005000,0.038874,0.000000,0.038892,0.436169,3.230880,12.192000,0.000000
0.005000,0.041096,0.000000,0.041114,0.452628,3.291840,12.192000,0.000000
0.005000,0.043401,0.000000,0.043419,0.469392,3.352800,12.192000,0.000000
0.005000,0.045791,0.000000,0.045808,0.486461,3.413760,12.192000,0.000000
0.005000,0.048266,0.000000,0.048284,0.503834,3.474720,12.192000,0.000000
0.005000,0.050830,0.000000,0.050847,0.521513,3.535680,12.192000,0.000000
0.005000,0.053482,0.000000,0.053500,0.539496,3.596640,12.192000,0.000000
0.005000,0.056225,0.000000,0.056243,0.557784,3.657600,12.192000,0.000000
0.005000,0.059061,0.000000,0.059079,0.576377,3.718560,12.192000,0.000000
0.005000,0.061990,0.000000,0.062008,0.595274,3.779520,12.192000,0.000000
